"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Hui Qi\OneDrive\IM1003\sudokuProject\Sudoku\src\sudoku\Puzzle.java", "Java", 2, 0, 2, 4
"Total", "-", 2, 0, 2, 4
