"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Hui Qi\OneDrive\IM1003\sudokuProject\Sudoku\src\sudoku\Puzzle.java", "Java", 0, -11, 1, -10
"Total", "-", 0, -11, 1, -10
